Angle (deg),Magnitude (dB),Phase (deg)
76.7,-7.11005,-19.1126
76.8,-7.16581,-19.302
76.9,-7.22249,-19.4956
77.0,-7.2801,-19.6935
77.1,-7.33868,-19.8959
77.2,-7.39823,-20.1029
77.3,-7.45879,-20.3147
77.4,-7.52038,-20.5314
77.5,-7.58302,-20.7533
77.6,-7.64674,-20.9805
77.7,-7.71158,-21.2133
77.8,-7.77755,-21.4517
77.9,-7.84469,-21.6962
78.0,-7.91303,-21.9468
78.1,-7.98258,-22.2038
78.2,-8.05341,-22.4676
78.3,-8.12553,-22.7382
78.4,-8.19896,-23.0161
78.5,-8.27376,-23.3016
78.6,-8.34996,-23.5949
78.7,-8.42759,-23.8963
78.8,-8.50669,-24.2063
78.9,-8.5873,-24.5252
79.0,-8.66946,-24.8534
79.1,-8.7532,-25.1912
79.2,-8.8386,-25.5393
79.3,-8.92566,-25.8979
79.4,-9.01443,-26.2677
79.5,-9.10499,-26.649
79.6,-9.19735,-27.0426
79.7,-9.29158,-27.449
79.8,-9.38771,-27.8687
79.9,-9.4858,-28.3025
80.0,-9.5859,-28.7511
80.1,-9.68806,-29.2153
80.2,-9.79234,-29.6958
80.3,-9.89876,-30.1935
80.4,-10.0074,-30.7094
80.5,-10.1183,-31.2445
80.6,-10.2315,-31.7996
80.7,-10.3471,-32.3761
80.8,-10.4651,-32.9752
80.9,-10.5855,-33.598
81.0,-10.7085,-34.2459
81.1,-10.8339,-34.9206
81.2,-10.962,-35.6235
81.3,-11.0926,-36.3563
81.4,-11.2258,-37.1209
81.5,-11.3617,-37.9193
81.6,-11.5002,-38.7533
81.7,-11.6413,-39.6255
81.8,-11.785,-40.5382
81.9,-11.9312,-41.4937
82.0,-12.0798,-42.495
82.1,-12.2309,-43.545
82.2,-12.3842,-44.6468
82.3,-12.5395,-45.8036
82.4,-12.6968,-47.019
82.5,-12.8556,-48.2965
82.6,-13.0158,-49.6401
82.7,-13.1768,-51.054
82.8,-13.3384,-52.542
82.9,-13.4999,-54.1083
83.0,-13.6607,-55.7576
83.1,-13.8201,-57.4938
83.2,-13.9772,-59.3216
83.3,-14.131,-61.2443
83.4,-14.2805,-63.2659
83.5,-14.4243,-65.3893
83.6,-14.5611,-67.617
83.7,-14.6893,-69.9507
83.8,-14.8073,-72.3901
83.9,-14.9133,-74.9345
84.0,-15.0054,-77.5813
84.1,-15.0817,-80.3256
84.2,-15.1404,-83.1614
84.3,-15.1796,-86.0795
84.4,-15.1977,-89.0691
84.5,-15.1932,-92.1181
