Angle (deg),Magnitude (dB),Phase (deg)
22.7,-7.46259,177.946
22.8,-7.45778,177.947
22.9,-7.45294,177.949
23.0,-7.44809,177.95
23.1,-7.44321,177.951
23.2,-7.43831,177.952
23.3,-7.43339,177.954
23.4,-7.42844,177.955
23.5,-7.42348,177.956
23.6,-7.41849,177.957
23.7,-7.41348,177.958
23.8,-7.40845,177.959
23.9,-7.4034,177.96
24.0,-7.39832,177.961
24.1,-7.39322,177.962
24.2,-7.3881,177.962
24.3,-7.38295,177.963
24.4,-7.37778,177.964
24.5,-7.37259,177.965
24.6,-7.36738,177.965
24.7,-7.36214,177.966
24.8,-7.35688,177.967
24.9,-7.35159,177.967
25.0,-7.34628,177.968
25.1,-7.34095,177.968
25.2,-7.33559,177.969
25.3,-7.33021,177.969
25.4,-7.3248,177.969
25.5,-7.31937,177.97
25.6,-7.31391,177.97
25.7,-7.30843,177.97
25.8,-7.30292,177.97
25.9,-7.29739,177.971
26.0,-7.29184,177.971
26.1,-7.28625,177.971
26.2,-7.28064,177.971
26.3,-7.27501,177.971
26.4,-7.26935,177.971
26.5,-7.26366,177.971
26.6,-7.25795,177.971
26.7,-7.25221,177.971
26.8,-7.24645,177.971
26.9,-7.24065,177.971
27.0,-7.23483,177.97
27.1,-7.22899,177.97
27.2,-7.22311,177.97
27.3,-7.21721,177.97
27.4,-7.21129,177.969
27.5,-7.20533,177.969
27.6,-7.19935,177.969
27.7,-7.19334,177.968
27.8,-7.1873,177.968
27.9,-7.18123,177.967
28.0,-7.17514,177.967
28.1,-7.16901,177.966
28.2,-7.16286,177.966
28.3,-7.15668,177.965
28.4,-7.15047,177.965
28.5,-7.14424,177.964
28.6,-7.13797,177.964
28.7,-7.13168,177.963
28.8,-7.12535,177.962
28.9,-7.119,177.962
29.0,-7.11262,177.961
29.1,-7.1062,177.961
29.2,-7.09976,177.96
29.3,-7.09329,177.959
29.4,-7.08679,177.958
29.5,-7.08027,177.958
29.6,-7.07371,177.957
29.7,-7.06712,177.956
29.8,-7.0605,177.956
29.9,-7.05385,177.955
30.0,-7.04718,177.954
30.1,-7.04047,177.953
30.2,-7.03373,177.953
30.3,-7.02696,177.952
30.4,-7.02017,177.951
30.5,-7.01334,177.951
30.6,-7.00648,177.95
30.7,-6.99959,177.949
30.8,-6.99268,177.948
30.9,-6.98573,177.948
31.0,-6.97875,177.947
31.1,-6.97175,177.946
31.2,-6.96471,177.946
31.3,-6.95764,177.945
31.4,-6.95055,177.945
31.5,-6.94342,177.944
31.6,-6.93626,177.943
31.7,-6.92908,177.943
31.8,-6.92186,177.942
31.9,-6.91461,177.942
32.0,-6.90734,177.941
32.1,-6.90003,177.941
32.2,-6.8927,177.94
32.3,-6.88533,177.94
32.4,-6.87794,177.94
32.5,-6.87052,177.939
32.6,-6.86307,177.939
32.7,-6.85559,177.939
32.8,-6.84808,177.939
32.9,-6.84054,177.938
33.0,-6.83297,177.938
33.1,-6.82538,177.938
33.2,-6.81775,177.938
33.3,-6.8101,177.938
33.4,-6.80242,177.938
33.5,-6.79471,177.938
33.6,-6.78697,177.938
33.7,-6.77921,177.938
33.8,-6.77142,177.939
33.9,-6.7636,177.939
34.0,-6.75575,177.939
34.1,-6.74788,177.94
34.2,-6.73998,177.94
34.3,-6.73206,177.941
34.4,-6.7241,177.941
34.5,-6.71613,177.942
34.6,-6.70812,177.942
34.7,-6.70009,177.943
34.8,-6.69203,177.944
34.9,-6.68395,177.945
35.0,-6.67585,177.946
35.1,-6.66771,177.947
35.2,-6.65956,177.948
35.3,-6.65138,177.949
35.4,-6.64317,177.95
35.5,-6.63494,177.951
35.6,-6.62669,177.952
35.7,-6.61842,177.954
35.8,-6.61012,177.955
35.9,-6.6018,177.957
36.0,-6.59345,177.958
36.1,-6.58508,177.96
36.2,-6.57669,177.962
36.3,-6.56828,177.963
36.4,-6.55985,177.965
36.5,-6.55139,177.967
36.6,-6.54292,177.969
36.7,-6.53442,177.971
36.8,-6.52591,177.973
36.9,-6.51737,177.975
37.0,-6.50881,177.978
37.1,-6.50023,177.98
37.2,-6.49164,177.982
37.3,-6.48302,177.985
37.4,-6.47439,177.987
37.5,-6.46573,177.99
37.6,-6.45706,177.993
37.7,-6.44837,177.995
37.8,-6.43966,177.998
37.9,-6.43093,178.001
38.0,-6.42219,178.004
38.1,-6.41343,178.007
38.2,-6.40465,178.01
38.3,-6.39586,178.013
38.4,-6.38705,178.017
38.5,-6.37822,178.02
38.6,-6.36938,178.023
38.7,-6.36052,178.027
38.8,-6.35165,178.03
38.9,-6.34276,178.034
39.0,-6.33386,178.037
39.1,-6.32494,178.041
39.2,-6.31601,178.045
39.3,-6.30706,178.048
39.4,-6.2981,178.052
39.5,-6.28913,178.056
39.6,-6.28014,178.06
39.7,-6.27114,178.064
39.8,-6.26213,178.068
39.9,-6.2531,178.072
40.0,-6.24406,178.076
40.1,-6.23501,178.081
40.2,-6.22595,178.085
40.3,-6.21687,178.089
40.4,-6.20779,178.094
40.5,-6.19869,178.098
40.6,-6.18958,178.102
40.7,-6.18045,178.107
40.8,-6.17132,178.111
40.9,-6.16217,178.116
41.0,-6.15302,178.121
