Angle (deg),Magnitude (dB),Phase (deg)
22.6,-8.47896,-175.406
22.7,-8.55822,-174.997
22.8,-8.63966,-174.586
22.9,-8.72335,-174.173
23.0,-8.80937,-173.759
23.1,-8.89779,-173.344
23.2,-8.98872,-172.927
23.3,-9.08223,-172.509
23.4,-9.17843,-172.09
23.5,-9.27741,-171.67
23.6,-9.37927,-171.249
23.7,-9.48413,-170.828
23.8,-9.59211,-170.406
23.9,-9.70332,-169.984
24.0,-9.81789,-169.562
24.1,-9.93597,-169.14
24.2,-10.0577,-168.719
24.3,-10.1832,-168.298
24.4,-10.3127,-167.878
24.5,-10.4463,-167.46
24.6,-10.5842,-167.043
24.7,-10.7266,-166.628
24.8,-10.8738,-166.216
24.9,-11.0258,-165.807
25.0,-11.183,-165.401
25.1,-11.3457,-165.0
25.2,-11.514,-164.603
25.3,-11.6883,-164.212
25.4,-11.8688,-163.827
25.5,-12.056,-163.45
25.6,-12.2501,-163.08
25.7,-12.4516,-162.721
25.8,-12.6609,-162.371
25.9,-12.8783,-162.035
26.0,-13.1045,-161.711
26.1,-13.3399,-161.404
26.2,-13.5851,-161.114
26.3,-13.8408,-160.844
26.4,-14.1076,-160.598
26.5,-14.3863,-160.377
26.6,-14.6777,-160.186
26.7,-14.9828,-160.029
26.8,-15.3026,-159.911
26.9,-15.6382,-159.838
27.0,-15.9908,-159.817
27.1,-16.3619,-159.855
27.2,-16.753,-159.964
27.3,-17.1658,-160.154
27.4,-17.6022,-160.44
27.5,-18.0644,-160.839
27.6,-18.5545,-161.374
27.7,-19.0753,-162.072
27.8,-19.6293,-162.966
27.9,-20.2193,-164.1
28.0,-20.8481,-165.53
28.1,-21.5177,-167.326
28.2,-22.2294,-169.58
28.3,-22.9817,-172.411
28.4,-23.7692,-175.969
28.5,-24.5781,179.563
28.6,-25.3818,173.978
28.7,-26.1337,167.085
28.8,-26.763,158.796
28.9,-27.1811,149.259
29.0,-27.3075,138.968
29.1,-27.1094,128.69
29.2,-26.6212,119.192
29.3,-25.9242,110.957
29.4,-25.1068,104.126
29.5,-24.2392,98.6058
29.6,-23.3674,94.2048
29.7,-22.5178,90.7162
29.8,-21.7038,87.9576
29.9,-20.9308,85.7795
30.0,-20.2001,84.0643
30.1,-19.5105,82.7207
30.2,-18.86,81.6779
30.3,-18.2458,80.8807
30.4,-17.6652,80.286
30.5,-17.1156,79.8599
30.6,-16.5944,79.5752
