Angle (deg),Magnitude (dB),Phase (deg)
22.7,-4.71049,144.065
22.8,-4.7068,144.09
22.9,-4.7031,144.115
23.0,-4.69938,144.141
23.1,-4.69564,144.166
23.2,-4.69189,144.192
23.3,-4.68813,144.217
23.4,-4.68435,144.243
23.5,-4.68056,144.269
23.6,-4.67675,144.295
23.7,-4.67292,144.321
23.8,-4.66908,144.347
23.9,-4.66523,144.373
24.0,-4.66136,144.4
24.1,-4.65748,144.426
24.2,-4.65358,144.453
24.3,-4.64967,144.479
24.4,-4.64575,144.506
24.5,-4.64181,144.533
24.6,-4.63785,144.56
24.7,-4.63388,144.587
24.8,-4.6299,144.615
24.9,-4.6259,144.642
25.0,-4.62189,144.669
25.1,-4.61786,144.697
25.2,-4.61382,144.725
25.3,-4.60976,144.752
25.4,-4.60569,144.78
25.5,-4.6016,144.808
25.6,-4.5975,144.836
25.7,-4.59339,144.864
25.8,-4.58926,144.893
25.9,-4.58512,144.921
26.0,-4.58096,144.95
26.1,-4.57679,144.978
26.2,-4.5726,145.007
26.3,-4.5684,145.036
26.4,-4.56419,145.065
26.5,-4.55996,145.094
26.6,-4.55572,145.123
26.7,-4.55146,145.152
26.8,-4.54719,145.182
26.9,-4.54291,145.211
27.0,-4.53861,145.241
27.1,-4.5343,145.27
27.2,-4.52997,145.3
27.3,-4.52563,145.33
27.4,-4.52127,145.36
27.5,-4.5169,145.39
27.6,-4.51252,145.42
27.7,-4.50812,145.451
27.8,-4.50371,145.481
27.9,-4.49929,145.512
28.0,-4.49485,145.542
28.1,-4.4904,145.573
28.2,-4.48593,145.604
28.3,-4.48145,145.635
28.4,-4.47696,145.666
28.5,-4.47245,145.697
28.6,-4.46793,145.728
28.7,-4.46339,145.759
28.8,-4.45884,145.791
28.9,-4.45428,145.822
29.0,-4.4497,145.854
29.1,-4.44511,145.886
29.2,-4.44051,145.918
29.3,-4.43589,145.95
29.4,-4.43126,145.982
29.5,-4.42662,146.014
29.6,-4.42196,146.046
29.7,-4.41729,146.079
29.8,-4.4126,146.111
29.9,-4.4079,146.144
30.0,-4.40319,146.177
30.1,-4.39846,146.209
30.2,-4.39372,146.242
30.3,-4.38897,146.275
30.4,-4.38421,146.308
30.5,-4.37943,146.342
30.6,-4.37463,146.375
30.7,-4.36983,146.408
30.8,-4.36501,146.442
30.9,-4.36018,146.476
31.0,-4.35533,146.509
31.1,-4.35047,146.543
31.2,-4.3456,146.577
31.3,-4.34071,146.611
31.4,-4.33581,146.645
31.5,-4.3309,146.68
31.6,-4.32598,146.714
31.7,-4.32104,146.748
31.8,-4.31609,146.783
31.9,-4.31112,146.818
32.0,-4.30614,146.852
32.1,-4.30115,146.887
32.2,-4.29615,146.922
32.3,-4.29113,146.957
32.4,-4.2861,146.992
32.5,-4.28106,147.028
32.6,-4.27601,147.063
32.7,-4.27094,147.099
32.8,-4.26586,147.134
32.9,-4.26076,147.17
33.0,-4.25566,147.206
33.1,-4.25054,147.242
33.2,-4.2454,147.277
33.3,-4.24026,147.314
33.4,-4.2351,147.35
33.5,-4.22993,147.386
33.6,-4.22475,147.422
33.7,-4.21955,147.459
33.8,-4.21434,147.496
33.9,-4.20912,147.532
34.0,-4.20389,147.569
34.1,-4.19864,147.606
34.2,-4.19338,147.643
34.3,-4.18811,147.68
34.4,-4.18283,147.717
34.5,-4.17753,147.755
34.6,-4.17222,147.792
34.7,-4.1669,147.829
34.8,-4.16157,147.867
34.9,-4.15622,147.905
35.0,-4.15086,147.943
35.1,-4.14549,147.98
35.2,-4.14011,148.018
35.3,-4.13471,148.057
35.4,-4.1293,148.095
35.5,-4.12388,148.133
35.6,-4.11845,148.171
35.7,-4.11301,148.21
35.8,-4.10755,148.248
35.9,-4.10208,148.287
36.0,-4.0966,148.326
36.1,-4.0911,148.365
36.2,-4.0856,148.404
36.3,-4.08008,148.443
36.4,-4.07455,148.482
36.5,-4.06901,148.521
36.6,-4.06346,148.561
36.7,-4.05789,148.6
36.8,-4.05231,148.64
36.9,-4.04672,148.68
37.0,-4.04112,148.719
37.1,-4.03551,148.759
37.2,-4.02988,148.799
37.3,-4.02425,148.839
37.4,-4.0186,148.879
37.5,-4.01294,148.92
37.6,-4.00727,148.96
37.7,-4.00158,149.001
37.8,-3.99589,149.041
37.9,-3.99018,149.082
38.0,-3.98446,149.122
38.1,-3.97873,149.163
38.2,-3.97299,149.204
38.3,-3.96723,149.245
38.4,-3.96147,149.286
38.5,-3.95569,149.328
38.6,-3.9499,149.369
38.7,-3.9441,149.41
38.8,-3.93829,149.452
38.9,-3.93247,149.494
39.0,-3.92663,149.535
39.1,-3.92078,149.577
39.2,-3.91493,149.619
39.3,-3.90906,149.661
39.4,-3.90318,149.703
39.5,-3.89729,149.745
39.6,-3.89138,149.788
39.7,-3.88547,149.83
39.8,-3.87955,149.873
39.9,-3.87361,149.915
40.0,-3.86766,149.958
40.1,-3.8617,150.001
40.2,-3.85573,150.043
40.3,-3.84975,150.086
40.4,-3.84376,150.13
40.5,-3.83776,150.173
40.6,-3.83174,150.216
40.7,-3.82572,150.259
40.8,-3.81968,150.303
40.9,-3.81363,150.346
41.0,-3.80758,150.39
41.1,-3.80151,150.434
41.2,-3.79543,150.477
41.3,-3.78934,150.521
41.4,-3.78324,150.565
41.5,-3.77712,150.609
41.6,-3.771,150.654
41.7,-3.76487,150.698
41.8,-3.75872,150.742
41.9,-3.75256,150.787
42.0,-3.7464,150.831
42.1,-3.74022,150.876
42.2,-3.73403,150.921
