Angle (deg),Magnitude (dB),Phase (deg)
22.3,-9.63429,-175.85
22.4,-9.62846,-175.778
22.5,-9.62261,-175.705
22.6,-9.61676,-175.632
22.7,-9.6109,-175.559
22.8,-9.60503,-175.485
22.9,-9.59915,-175.411
23.0,-9.59326,-175.337
23.1,-9.58737,-175.263
23.2,-9.58146,-175.188
23.3,-9.57555,-175.114
23.4,-9.56962,-175.039
23.5,-9.56369,-174.963
23.6,-9.55776,-174.888
23.7,-9.55181,-174.812
23.8,-9.54586,-174.736
23.9,-9.5399,-174.66
24.0,-9.53393,-174.583
24.1,-9.52796,-174.506
24.2,-9.52198,-174.429
24.3,-9.51599,-174.352
24.4,-9.51,-174.275
24.5,-9.504,-174.197
24.6,-9.49799,-174.119
24.7,-9.49198,-174.041
24.8,-9.48597,-173.963
24.9,-9.47994,-173.884
25.0,-9.47392,-173.805
25.1,-9.46789,-173.726
25.2,-9.46185,-173.647
25.3,-9.45581,-173.568
25.4,-9.44976,-173.488
25.5,-9.44371,-173.408
25.6,-9.43766,-173.328
25.7,-9.4316,-173.247
25.8,-9.42554,-173.167
25.9,-9.41947,-173.086
26.0,-9.4134,-173.005
26.1,-9.40733,-172.924
26.2,-9.40126,-172.842
26.3,-9.39518,-172.761
26.4,-9.3891,-172.679
26.5,-9.38302,-172.597
26.6,-9.37694,-172.514
26.7,-9.37085,-172.432
26.8,-9.36476,-172.349
26.9,-9.35867,-172.266
27.0,-9.35258,-172.183
27.1,-9.34649,-172.1
27.2,-9.34039,-172.016
27.3,-9.3343,-171.932
27.4,-9.3282,-171.849
27.5,-9.32211,-171.764
27.6,-9.31601,-171.68
27.7,-9.30991,-171.596
27.8,-9.30382,-171.511
27.9,-9.29772,-171.426
28.0,-9.29163,-171.341
28.1,-9.28553,-171.256
28.2,-9.27944,-171.17
28.3,-9.27334,-171.084
28.4,-9.26725,-170.999
28.5,-9.26116,-170.913
28.6,-9.25507,-170.826
28.7,-9.24898,-170.74
28.8,-9.24289,-170.653
28.9,-9.23681,-170.567
29.0,-9.23073,-170.48
29.1,-9.22465,-170.393
29.2,-9.21857,-170.305
29.3,-9.21249,-170.218
29.4,-9.20642,-170.13
29.5,-9.20035,-170.042
29.6,-9.19429,-169.954
29.7,-9.18823,-169.866
29.8,-9.18217,-169.778
29.9,-9.17611,-169.689
30.0,-9.17006,-169.601
30.1,-9.16401,-169.512
30.2,-9.15797,-169.423
30.3,-9.15193,-169.334
30.4,-9.1459,-169.244
30.5,-9.13987,-169.155
30.6,-9.13385,-169.065
30.7,-9.12783,-168.975
30.8,-9.12182,-168.885
30.9,-9.11581,-168.795
31.0,-9.10981,-168.705
31.1,-9.10381,-168.615
31.2,-9.09782,-168.524
31.3,-9.09184,-168.434
31.4,-9.08586,-168.343
31.5,-9.07989,-168.252
31.6,-9.07393,-168.161
31.7,-9.06797,-168.069
31.8,-9.06202,-167.978
31.9,-9.05608,-167.886
32.0,-9.05014,-167.795
32.1,-9.04422,-167.703
32.2,-9.0383,-167.611
32.3,-9.03238,-167.519
32.4,-9.02648,-167.427
32.5,-9.02059,-167.334
32.6,-9.0147,-167.242
32.7,-9.00882,-167.149
32.8,-9.00295,-167.056
32.9,-8.99709,-166.964
33.0,-8.99124,-166.871
33.1,-8.98539,-166.777
33.2,-8.97956,-166.684
33.3,-8.97374,-166.591
33.4,-8.96792,-166.497
33.5,-8.96212,-166.404
33.6,-8.95633,-166.31
33.7,-8.95054,-166.216
33.8,-8.94477,-166.123
33.9,-8.93901,-166.029
34.0,-8.93325,-165.934
34.1,-8.92751,-165.84
34.2,-8.92178,-165.746
34.3,-8.91606,-165.651
34.4,-8.91036,-165.557
34.5,-8.90466,-165.462
34.6,-8.89897,-165.368
34.7,-8.8933,-165.273
34.8,-8.88764,-165.178
34.9,-8.88199,-165.083
35.0,-8.87636,-164.988
35.1,-8.87073,-164.893
35.2,-8.86512,-164.797
35.3,-8.85952,-164.702
35.4,-8.85393,-164.606
35.5,-8.84836,-164.511
35.6,-8.8428,-164.415
35.7,-8.83725,-164.32
35.8,-8.83172,-164.224
35.9,-8.8262,-164.128
36.0,-8.8207,-164.032
36.1,-8.8152,-163.936
36.2,-8.80973,-163.84
36.3,-8.80426,-163.744
36.4,-8.79881,-163.648
36.5,-8.79338,-163.551
36.6,-8.78796,-163.455
36.7,-8.78255,-163.359
36.8,-8.77716,-163.262
36.9,-8.77179,-163.166
37.0,-8.76643,-163.069
37.1,-8.76108,-162.973
37.2,-8.75575,-162.876
37.3,-8.75044,-162.779
37.4,-8.74514,-162.682
37.5,-8.73986,-162.586
37.6,-8.73459,-162.489
37.7,-8.72934,-162.392
37.8,-8.72411,-162.295
37.9,-8.71889,-162.198
38.0,-8.71369,-162.101
38.1,-8.7085,-162.004
38.2,-8.70333,-161.907
38.3,-8.69818,-161.809
38.4,-8.69305,-161.712
38.5,-8.68793,-161.615
38.6,-8.68283,-161.518
38.7,-8.67775,-161.421
38.8,-8.67269,-161.323
38.9,-8.66764,-161.226
39.0,-8.66261,-161.129
39.1,-8.6576,-161.031
39.2,-8.65261,-160.934
39.3,-8.64763,-160.836
39.4,-8.64268,-160.739
39.5,-8.63774,-160.642
39.6,-8.63282,-160.544
39.7,-8.62792,-160.447
39.8,-8.62304,-160.349
39.9,-8.61817,-160.252
40.0,-8.61333,-160.154
40.1,-8.6085,-160.057
40.2,-8.6037,-159.96
40.3,-8.59891,-159.862
40.4,-8.59414,-159.765
40.5,-8.58939,-159.667
40.6,-8.58467,-159.57
40.7,-8.57996,-159.472
40.8,-8.57527,-159.375
40.9,-8.5706,-159.278
41.0,-8.56595,-159.18
41.1,-8.56132,-159.083
41.2,-8.55672,-158.986
41.3,-8.55213,-158.888
41.4,-8.54756,-158.791
41.5,-8.54301,-158.694
41.6,-8.53849,-158.597
41.7,-8.53398,-158.5
41.8,-8.5295,-158.402
41.9,-8.52503,-158.305
42.0,-8.52059,-158.208
42.1,-8.51617,-158.111
42.2,-8.51177,-158.014
42.3,-8.50739,-157.917
42.4,-8.50303,-157.82
42.5,-8.49869,-157.723
42.6,-8.49438,-157.627
42.7,-8.49009,-157.53
42.8,-8.48582,-157.433
42.9,-8.48157,-157.337
43.0,-8.47734,-157.24
43.1,-8.47313,-157.143
43.2,-8.46895,-157.047
43.3,-8.46479,-156.951
43.4,-8.46065,-156.854
43.5,-8.45653,-156.758
43.6,-8.45244,-156.662
43.7,-8.44836,-156.566
43.8,-8.44431,-156.47
43.9,-8.44029,-156.374
44.0,-8.43628,-156.278
44.1,-8.4323,-156.182
44.2,-8.42834,-156.086
44.3,-8.4244,-155.991
44.4,-8.42049,-155.895
44.5,-8.4166,-155.8
44.6,-8.41273,-155.705
44.7,-8.40889,-155.609
44.8,-8.40507,-155.514
44.9,-8.40127,-155.419
45.0,-8.39749,-155.324
45.1,-8.39374,-155.229
45.2,-8.39001,-155.135
45.3,-8.38631,-155.04
45.4,-8.38262,-154.945
45.5,-8.37896,-154.851
45.6,-8.37533,-154.757
45.7,-8.37172,-154.663
45.8,-8.36813,-154.569
45.9,-8.36457,-154.475
46.0,-8.36102,-154.381
46.1,-8.35751,-154.287
46.2,-8.35401,-154.194
46.3,-8.35054,-154.1
46.4,-8.3471,-154.007
46.5,-8.34368,-153.914
46.6,-8.34028,-153.821
46.7,-8.3369,-153.728
46.8,-8.33355,-153.635
46.9,-8.33023,-153.543
47.0,-8.32692,-153.45
47.1,-8.32364,-153.358
47.2,-8.32039,-153.266
47.3,-8.31716,-153.174
47.4,-8.31395,-153.082
47.5,-8.31077,-152.991
47.6,-8.30761,-152.899
47.7,-8.30447,-152.808
47.8,-8.30136,-152.717
47.9,-8.29827,-152.626
48.0,-8.29521,-152.535
48.1,-8.29217,-152.445
