Angle (deg),Magnitude (dB),Phase (deg)
0.0,-8.03464,177.594
0.1,-8.03463,177.594
0.2,-8.0346,177.594
0.3,-8.03454,177.594
0.4,-8.03445,177.594
0.5,-8.03434,177.594
0.6,-8.03421,177.594
0.7,-8.03406,177.594
0.8,-8.03388,177.594
0.9,-8.03367,177.594
1.0,-8.03345,177.594
1.1,-8.03319,177.595
1.2,-8.03292,177.595
1.3,-8.03262,177.595
1.4,-8.0323,177.595
1.5,-8.03195,177.595
1.6,-8.03158,177.596
1.7,-8.03118,177.596
1.8,-8.03076,177.596
1.9,-8.03032,177.596
2.0,-8.02985,177.597
2.1,-8.02936,177.597
2.2,-8.02885,177.597
2.3,-8.02831,177.598
2.4,-8.02775,177.598
2.5,-8.02716,177.598
2.6,-8.02655,177.599
2.7,-8.02592,177.599
2.8,-8.02526,177.6
2.9,-8.02458,177.6
3.0,-8.02387,177.601
3.1,-8.02315,177.601
3.2,-8.02239,177.602
3.3,-8.02162,177.602
3.4,-8.02082,177.603
3.5,-8.01999,177.603
3.6,-8.01915,177.604
3.7,-8.01828,177.604
3.8,-8.01738,177.605
3.9,-8.01646,177.605
4.0,-8.01552,177.606
4.1,-8.01455,177.607
4.2,-8.01357,177.607
4.3,-8.01255,177.608
4.4,-8.01152,177.609
4.5,-8.01046,177.61
4.6,-8.00937,177.61
4.7,-8.00827,177.611
4.8,-8.00714,177.612
4.9,-8.00598,177.613
5.0,-8.00481,177.613
5.1,-8.00361,177.614
5.2,-8.00238,177.615
5.3,-8.00113,177.616
5.4,-7.99986,177.617
5.5,-7.99857,177.618
5.6,-7.99725,177.618
5.7,-7.99591,177.619
5.8,-7.99455,177.62
5.9,-7.99316,177.621
6.0,-7.99175,177.622
6.1,-7.99032,177.623
6.2,-7.98886,177.624
6.3,-7.98739,177.625
6.4,-7.98588,177.626
6.5,-7.98436,177.627
6.6,-7.98281,177.628
6.7,-7.98124,177.629
6.8,-7.97965,177.631
6.9,-7.97803,177.632
7.0,-7.97639,177.633
7.1,-7.97473,177.634
7.2,-7.97304,177.635
7.3,-7.97133,177.636
7.4,-7.9696,177.638
7.5,-7.96785,177.639
7.6,-7.96607,177.64
7.7,-7.96427,177.641
7.8,-7.96245,177.643
7.9,-7.96061,177.644
8.0,-7.95874,177.645
8.1,-7.95686,177.647
8.2,-7.95494,177.648
8.3,-7.95301,177.649
8.4,-7.95106,177.651
8.5,-7.94908,177.652
8.6,-7.94708,177.654
8.7,-7.94506,177.655
8.8,-7.94301,177.657
8.9,-7.94094,177.658
9.0,-7.93886,177.66
9.1,-7.93674,177.661
9.2,-7.93461,177.663
9.3,-7.93246,177.664
9.4,-7.93028,177.666
9.5,-7.92808,177.667
9.6,-7.92586,177.669
9.7,-7.92362,177.671
9.8,-7.92136,177.672
9.9,-7.91907,177.674
10.0,-7.91676,177.676
10.1,-7.91444,177.677
10.2,-7.91209,177.679
10.3,-7.90972,177.681
10.4,-7.90732,177.683
10.5,-7.90491,177.684
10.6,-7.90247,177.686
10.7,-7.90002,177.688
10.8,-7.89754,177.69
10.9,-7.89504,177.692
11.0,-7.89252,177.694
11.1,-7.88998,177.696
11.2,-7.88741,177.697
11.3,-7.88483,177.699
11.4,-7.88223,177.701
11.5,-7.8796,177.703
11.6,-7.87696,177.705
11.7,-7.87429,177.707
11.8,-7.8716,177.709
11.9,-7.86889,177.711
12.0,-7.86616,177.713
12.1,-7.86342,177.715
12.2,-7.86065,177.717
12.3,-7.85786,177.72
12.4,-7.85504,177.722
12.5,-7.85221,177.724
12.6,-7.84936,177.726
12.7,-7.84649,177.728
12.8,-7.8436,177.73
12.9,-7.84069,177.732
13.0,-7.83776,177.734
13.1,-7.8348,177.737
13.2,-7.83183,177.739
13.3,-7.82884,177.741
13.4,-7.82583,177.743
13.5,-7.8228,177.746
13.6,-7.81974,177.748
13.7,-7.81667,177.75
13.8,-7.81358,177.752
13.9,-7.81047,177.755
14.0,-7.80734,177.757
14.1,-7.80419,177.759
14.2,-7.80102,177.762
14.3,-7.79783,177.764
14.4,-7.79463,177.766
14.5,-7.7914,177.769
14.6,-7.78815,177.771
14.7,-7.78488,177.773
14.8,-7.7816,177.776
14.9,-7.7783,177.778
15.0,-7.77497,177.781
15.1,-7.77163,177.783
15.2,-7.76827,177.785
15.3,-7.76489,177.788
15.4,-7.76149,177.79
15.5,-7.75807,177.793
15.6,-7.75463,177.795
15.7,-7.75117,177.798
15.8,-7.7477,177.8
15.9,-7.7442,177.803
16.0,-7.74069,177.805
16.1,-7.73716,177.807
16.2,-7.73361,177.81
16.3,-7.73004,177.812
16.4,-7.72645,177.815
16.5,-7.72284,177.817
16.6,-7.71922,177.82
16.7,-7.71557,177.822
16.8,-7.71191,177.825
16.9,-7.70823,177.827
17.0,-7.70453,177.83
17.1,-7.70081,177.832
17.2,-7.69707,177.834
17.3,-7.69332,177.837
17.4,-7.68954,177.839
17.5,-7.68575,177.842
17.6,-7.68194,177.844
17.7,-7.67811,177.847
17.8,-7.67426,177.849
17.9,-7.6704,177.851
18.0,-7.66651,177.854
18.1,-7.66261,177.856
18.2,-7.65869,177.859
18.3,-7.65475,177.861
18.4,-7.65079,177.863
18.5,-7.64681,177.866
18.6,-7.64282,177.868
18.7,-7.6388,177.87
18.8,-7.63477,177.873
18.9,-7.63072,177.875
19.0,-7.62665,177.877
19.1,-7.62256,177.88
19.2,-7.61845,177.882
19.3,-7.61433,177.884
19.4,-7.61018,177.886
19.5,-7.60602,177.889
19.6,-7.60184,177.891
19.7,-7.59764,177.893
19.8,-7.59342,177.895
19.9,-7.58918,177.897
20.0,-7.58492,177.899
20.1,-7.58065,177.901
20.2,-7.57635,177.904
20.3,-7.57204,177.906
20.4,-7.5677,177.908
20.5,-7.56335,177.91
20.6,-7.55898,177.912
20.7,-7.55459,177.914
20.8,-7.55018,177.916
20.9,-7.54575,177.917
21.0,-7.5413,177.919
21.1,-7.53683,177.921
21.2,-7.53234,177.923
21.3,-7.52783,177.925
21.4,-7.52331,177.927
21.5,-7.51876,177.928
21.6,-7.51419,177.93
21.7,-7.5096,177.932
21.8,-7.505,177.934
21.9,-7.50037,177.935
22.0,-7.49572,177.937
22.1,-7.49105,177.938
22.2,-7.48636,177.94
22.3,-7.48165,177.941
22.4,-7.47692,177.943
22.5,-7.47217,177.944
22.6,-7.4674,177.946
22.7,-7.46261,177.947
22.8,-7.45779,177.948
22.9,-7.45296,177.95
23.0,-7.4481,177.951
23.1,-7.44323,177.952
23.2,-7.43833,177.953
23.3,-7.43341,177.955
23.4,-7.42846,177.956
23.5,-7.4235,177.957
23.6,-7.41851,177.958
23.7,-7.4135,177.959
23.8,-7.40847,177.96
23.9,-7.40342,177.961
24.0,-7.39834,177.962
24.1,-7.39324,177.962
24.2,-7.38812,177.963
24.3,-7.38298,177.964
24.4,-7.37781,177.965
24.5,-7.37262,177.966
24.6,-7.3674,177.966
24.7,-7.36217,177.967
24.8,-7.35691,177.967
24.9,-7.35162,177.968
25.0,-7.34631,177.969
25.1,-7.34098,177.969
25.2,-7.33562,177.969
25.3,-7.33024,177.97
25.4,-7.32483,177.97
25.5,-7.3194,177.971
25.6,-7.31394,177.971
25.7,-7.30846,177.971
25.8,-7.30296,177.971
25.9,-7.29743,177.972
26.0,-7.29187,177.972
26.1,-7.28629,177.972
26.2,-7.28068,177.972
26.3,-7.27505,177.972
26.4,-7.26939,177.972
26.5,-7.2637,177.972
26.6,-7.25799,177.972
26.7,-7.25225,177.972
26.8,-7.24648,177.972
26.9,-7.24069,177.971
27.0,-7.23487,177.971
27.1,-7.22903,177.971
27.2,-7.22316,177.971
27.3,-7.21726,177.97
27.4,-7.21133,177.97
27.5,-7.20537,177.97
27.6,-7.19939,177.969
27.7,-7.19338,177.969
27.8,-7.18734,177.969
27.9,-7.18127,177.968
28.0,-7.17518,177.968
28.1,-7.16906,177.967
28.2,-7.16291,177.967
28.3,-7.15673,177.966
28.4,-7.15052,177.966
28.5,-7.14428,177.965
28.6,-7.13802,177.964
28.7,-7.13172,177.964
28.8,-7.1254,177.963
28.9,-7.11905,177.963
29.0,-7.11266,177.962
29.1,-7.10625,177.961
29.2,-7.09981,177.961
29.3,-7.09334,177.96
29.4,-7.08684,177.959
29.5,-7.08031,177.958
29.6,-7.07376,177.958
29.7,-7.06717,177.957
29.8,-7.06055,177.956
29.9,-7.0539,177.956
30.0,-7.04722,177.955
30.1,-7.04052,177.954
30.2,-7.03378,177.953
30.3,-7.02701,177.953
30.4,-7.02021,177.952
30.5,-7.01339,177.951
30.6,-7.00653,177.951
30.7,-6.99964,177.95
30.8,-6.99273,177.949
30.9,-6.98578,177.948
31.0,-6.9788,177.948
31.1,-6.97179,177.947
31.2,-6.96476,177.946
31.3,-6.95769,177.946
31.4,-6.95059,177.945
31.5,-6.94347,177.945
31.6,-6.93631,177.944
31.7,-6.92912,177.943
31.8,-6.92191,177.943
31.9,-6.91466,177.942
32.0,-6.90738,177.942
32.1,-6.90008,177.941
32.2,-6.89274,177.941
32.3,-6.88538,177.941
32.4,-6.87798,177.94
32.5,-6.87056,177.94
32.6,-6.86311,177.94
32.7,-6.85563,177.939
32.8,-6.84812,177.939
32.9,-6.84058,177.939
33.0,-6.83301,177.939
33.1,-6.82542,177.939
33.2,-6.81779,177.939
33.3,-6.81014,177.939
33.4,-6.80246,177.939
33.5,-6.79475,177.939
33.6,-6.78701,177.939
33.7,-6.77925,177.939
33.8,-6.77146,177.939
33.9,-6.76364,177.939
34.0,-6.75579,177.94
34.1,-6.74792,177.94
34.2,-6.74002,177.941
34.3,-6.73209,177.941
34.4,-6.72414,177.942
34.5,-6.71616,177.942
34.6,-6.70815,177.943
34.7,-6.70012,177.944
34.8,-6.69206,177.944
34.9,-6.68398,177.945
35.0,-6.67587,177.946
35.1,-6.66774,177.947
35.2,-6.65959,177.948
35.3,-6.6514,177.949
35.4,-6.6432,177.95
35.5,-6.63497,177.952
35.6,-6.62672,177.953
35.7,-6.61844,177.954
35.8,-6.61014,177.956
35.9,-6.60182,177.957
36.0,-6.59347,177.959
36.1,-6.5851,177.96
36.2,-6.57671,177.962
36.3,-6.5683,177.964
36.4,-6.55987,177.966
36.5,-6.55141,177.967
36.6,-6.54294,177.969
36.7,-6.53444,177.972
36.8,-6.52592,177.974
36.9,-6.51738,177.976
37.0,-6.50882,177.978
37.1,-6.50025,177.98
37.2,-6.49165,177.983
37.3,-6.48303,177.985
37.4,-6.4744,177.988
37.5,-6.46574,177.99
37.6,-6.45707,177.993
37.7,-6.44838,177.996
37.8,-6.43967,177.999
37.9,-6.43094,178.002
38.0,-6.4222,178.005
38.1,-6.41344,178.008
38.2,-6.40466,178.011
38.3,-6.39586,178.014
38.4,-6.38705,178.017
38.5,-6.37822,178.02
38.6,-6.36938,178.024
38.7,-6.36052,178.027
38.8,-6.35165,178.031
38.9,-6.34276,178.034
39.0,-6.33386,178.038
39.1,-6.32494,178.041
39.2,-6.31601,178.045
39.3,-6.30706,178.049
39.4,-6.2981,178.053
39.5,-6.28912,178.057
39.6,-6.28014,178.061
39.7,-6.27114,178.065
39.8,-6.26212,178.069
39.9,-6.2531,178.073
40.0,-6.24406,178.077
40.1,-6.235,178.081
40.2,-6.22594,178.085
40.3,-6.21686,178.09
40.4,-6.20778,178.094
40.5,-6.19868,178.098
40.6,-6.18956,178.103
40.7,-6.18044,178.107
40.8,-6.17131,178.112
40.9,-6.16216,178.117
41.0,-6.15301,178.121
41.1,-6.14384,178.126
41.2,-6.13466,178.13
41.3,-6.12547,178.135
41.4,-6.11628,178.14
41.5,-6.10707,178.145
41.6,-6.09785,178.149
41.7,-6.08862,178.154
41.8,-6.07938,178.159
41.9,-6.07013,178.164
42.0,-6.06087,178.169
42.1,-6.0516,178.174
42.2,-6.04232,178.179
42.3,-6.03304,178.183
42.4,-6.02374,178.188
42.5,-6.01443,178.193
42.6,-6.00511,178.198
42.7,-5.99579,178.203
42.8,-5.98645,178.208
42.9,-5.9771,178.213
43.0,-5.96775,178.218
43.1,-5.95838,178.223
43.2,-5.94901,178.228
43.3,-5.93963,178.233
43.4,-5.93023,178.238
43.5,-5.92083,178.243
43.6,-5.91142,178.248
43.7,-5.90199,178.253
43.8,-5.89256,178.258
43.9,-5.88312,178.263
44.0,-5.87367,178.268
44.1,-5.8642,178.273
44.2,-5.85473,178.278
44.3,-5.84525,178.282
44.4,-5.83576,178.287
44.5,-5.82625,178.292
44.6,-5.81674,178.297
44.7,-5.80722,178.302
44.8,-5.79768,178.306
44.9,-5.78814,178.311
45.0,-5.77858,178.316
45.1,-5.76901,178.32
45.2,-5.75943,178.325
45.3,-5.74984,178.33
45.4,-5.74024,178.334
45.5,-5.73063,178.339
45.6,-5.721,178.343
45.7,-5.71137,178.348
45.8,-5.70172,178.352
45.9,-5.69206,178.356
46.0,-5.68238,178.361
46.1,-5.67269,178.365
46.2,-5.66299,178.369
46.3,-5.65328,178.374
46.4,-5.64356,178.378
46.5,-5.63382,178.382
46.6,-5.62406,178.386
46.7,-5.6143,178.39
46.8,-5.60451,178.394
46.9,-5.59472,178.398
47.0,-5.58491,178.402
47.1,-5.57508,178.406
47.2,-5.56524,178.409
47.3,-5.55539,178.413
47.4,-5.54552,178.417
47.5,-5.53563,178.42
47.6,-5.52573,178.424
47.7,-5.51581,178.427
47.8,-5.50588,178.431
47.9,-5.49593,178.434
48.0,-5.48596,178.438
48.1,-5.47598,178.441
48.2,-5.46598,178.444
48.3,-5.45596,178.447
48.4,-5.44592,178.451
48.5,-5.43587,178.454
48.6,-5.4258,178.457
48.7,-5.41571,178.46
48.8,-5.4056,178.463
48.9,-5.39547,178.466
49.0,-5.38532,178.468
49.1,-5.37516,178.471
49.2,-5.36497,178.474
49.3,-5.35477,178.477
49.4,-5.34455,178.479
49.5,-5.3343,178.482
49.6,-5.32404,178.484
49.7,-5.31376,178.487
49.8,-5.30345,178.489
49.9,-5.29313,178.492
50.0,-5.28278,178.494
50.1,-5.27241,178.496
50.2,-5.26202,178.499
50.3,-5.25162,178.501
50.4,-5.24118,178.503
50.5,-5.23073,178.505
50.6,-5.22026,178.507
50.7,-5.20976,178.509
50.8,-5.19924,178.511
50.9,-5.1887,178.513
51.0,-5.17814,178.515
51.1,-5.16755,178.517
51.2,-5.15694,178.519
51.3,-5.14631,178.521
51.4,-5.13565,178.523
51.5,-5.12498,178.524
51.6,-5.11428,178.526
51.7,-5.10355,178.528
51.8,-5.0928,178.53
51.9,-5.08203,178.531
52.0,-5.07124,178.533
52.1,-5.06042,178.534
52.2,-5.04958,178.536
52.3,-5.03871,178.538
52.4,-5.02783,178.539
52.5,-5.01691,178.541
52.6,-5.00598,178.542
52.7,-4.99501,178.544
52.8,-4.98403,178.545
52.9,-4.97302,178.547
53.0,-4.96199,178.548
53.1,-4.95093,178.549
53.2,-4.93985,178.551
53.3,-4.92874,178.552
53.4,-4.91762,178.554
53.5,-4.90646,178.555
53.6,-4.89529,178.556
53.7,-4.88409,178.558
53.8,-4.87286,178.559
53.9,-4.86161,178.561
54.0,-4.85034,178.562
54.1,-4.83904,178.563
54.2,-4.82772,178.565
54.3,-4.81638,178.566
54.4,-4.80501,178.568
54.5,-4.79362,178.569
54.6,-4.7822,178.571
54.7,-4.77077,178.572
54.8,-4.7593,178.574
54.9,-4.74782,178.575
55.0,-4.73631,178.576
55.1,-4.72478,178.578
55.2,-4.71323,178.58
55.3,-4.70165,178.581
55.4,-4.69005,178.583
55.5,-4.67843,178.584
55.6,-4.66678,178.586
55.7,-4.65511,178.587
55.8,-4.64342,178.589
55.9,-4.63171,178.591
56.0,-4.61998,178.592
56.1,-4.60822,178.594
56.2,-4.59645,178.596
56.3,-4.58465,178.598
56.4,-4.57283,178.6
56.5,-4.56099,178.601
56.6,-4.54913,178.603
56.7,-4.53724,178.605
56.8,-4.52534,178.607
56.9,-4.51341,178.609
57.0,-4.50147,178.611
57.1,-4.4895,178.613
57.2,-4.47752,178.615
57.3,-4.46552,178.617
57.4,-4.45349,178.619
57.5,-4.44145,178.622
57.6,-4.42938,178.624
57.7,-4.4173,178.626
57.8,-4.4052,178.628
57.9,-4.39308,178.631
58.0,-4.38094,178.633
58.1,-4.36878,178.636
58.2,-4.35661,178.638
58.3,-4.34441,178.64
58.4,-4.3322,178.643
58.5,-4.31997,178.646
58.6,-4.30773,178.648
58.7,-4.29546,178.651
58.8,-4.28318,178.654
58.9,-4.27089,178.656
59.0,-4.25857,178.659
59.1,-4.24624,178.662
59.2,-4.2339,178.665
59.3,-4.22153,178.668
59.4,-4.20915,178.671
59.5,-4.19676,178.674
59.6,-4.18435,178.677
59.7,-4.17192,178.68
59.8,-4.15948,178.683
59.9,-4.14703,178.686
60.0,-4.13456,178.689
60.1,-4.12207,178.693
60.2,-4.10957,178.696
60.3,-4.09706,178.699
60.4,-4.08453,178.703
60.5,-4.07199,178.706
60.6,-4.05943,178.71
60.7,-4.04687,178.713
60.8,-4.03428,178.717
60.9,-4.02169,178.72
61.0,-4.00908,178.724
61.1,-3.99646,178.727
61.2,-3.98382,178.731
61.3,-3.97118,178.735
