Angle (deg),Magnitude (dB),Phase (deg)
21.2,-11.6828,173.451
21.3,-11.6433,172.665
21.4,-11.5999,171.888
21.5,-11.5527,171.121
21.6,-11.5019,170.365
21.7,-11.4474,169.622
21.8,-11.3895,168.891
21.9,-11.3282,168.175
22.0,-11.2636,167.474
22.1,-11.196,166.79
22.2,-11.1255,166.122
22.3,-11.0522,165.471
22.4,-10.9762,164.838
22.5,-10.8977,164.225
22.6,-10.817,163.63
22.7,-10.734,163.054
22.8,-10.649,162.499
22.9,-10.5622,161.963
23.0,-10.4737,161.448
23.1,-10.3836,160.953
23.2,-10.2921,160.479
23.3,-10.1994,160.024
23.4,-10.1055,159.591
23.5,-10.0107,159.177
23.6,-9.91495,158.784
23.7,-9.81852,158.411
23.8,-9.72149,158.058
23.9,-9.62397,157.724
24.0,-9.52607,157.409
24.1,-9.42791,157.114
24.2,-9.32958,156.837
24.3,-9.23117,156.579
24.4,-9.13279,156.338
24.5,-9.0345,156.116
24.6,-8.93641,155.911
24.7,-8.83857,155.722
24.8,-8.74107,155.55
24.9,-8.64396,155.395
25.0,-8.54731,155.255
25.1,-8.45119,155.13
25.2,-8.35563,155.02
25.3,-8.2607,154.925
25.4,-8.16644,154.844
25.5,-8.07289,154.777
25.6,-7.98009,154.723
25.7,-7.88808,154.682
25.8,-7.79689,154.653
25.9,-7.70655,154.637
26.0,-7.61709,154.632
26.1,-7.52853,154.639
26.2,-7.4409,154.657
26.3,-7.35422,154.686
26.4,-7.2685,154.725
26.5,-7.18376,154.773
26.6,-7.10001,154.832
26.7,-7.01727,154.9
26.8,-6.93555,154.977
26.9,-6.85486,155.062
27.0,-6.77519,155.156
27.1,-6.69657,155.259
27.2,-6.61899,155.368
27.3,-6.54246,155.486
27.4,-6.46698,155.61
27.5,-6.39255,155.742
27.6,-6.31918,155.88
27.7,-6.24685,156.025
27.8,-6.17558,156.176
27.9,-6.10535,156.333
28.0,-6.03616,156.496
28.1,-5.96802,156.664
28.2,-5.90092,156.838
28.3,-5.83484,157.017
28.4,-5.76979,157.2
28.5,-5.70577,157.388
28.6,-5.64275,157.581
28.7,-5.58075,157.778
28.8,-5.51974,157.98
28.9,-5.45973,158.185
29.0,-5.4007,158.394
29.1,-5.34265,158.606
29.2,-5.28557,158.823
29.3,-5.22944,159.042
29.4,-5.17427,159.265
29.5,-5.12004,159.49
29.6,-5.06675,159.719
29.7,-5.01438,159.95
29.8,-4.96292,160.184
29.9,-4.91237,160.421
30.0,-4.86271,160.66
30.1,-4.81394,160.901
30.2,-4.76605,161.144
30.3,-4.71902,161.389
30.4,-4.67285,161.637
30.5,-4.62753,161.886
30.6,-4.58305,162.137
30.7,-4.53939,162.39
30.8,-4.49656,162.644
30.9,-4.45453,162.9
31.0,-4.41331,163.157
31.1,-4.37287,163.415
31.2,-4.33322,163.675
31.3,-4.29433,163.936
31.4,-4.25621,164.198
31.5,-4.21884,164.461
31.6,-4.18222,164.725
31.7,-4.14633,164.99
31.8,-4.11117,165.256
31.9,-4.07673,165.523
32.0,-4.04299,165.79
32.1,-4.00996,166.059
32.2,-3.97762,166.327
32.3,-3.94596,166.597
32.4,-3.91498,166.867
32.5,-3.88466,167.137
32.6,-3.85501,167.408
32.7,-3.826,167.68
32.8,-3.79764,167.951
32.9,-3.76992,168.224
33.0,-3.74283,168.496
33.1,-3.71636,168.769
33.2,-3.69051,169.042
33.3,-3.66526,169.315
33.4,-3.64062,169.588
33.5,-3.61657,169.862
33.6,-3.59311,170.136
33.7,-3.57023,170.409
33.8,-3.54793,170.683
33.9,-3.5262,170.957
34.0,-3.50503,171.231
34.1,-3.48443,171.506
34.2,-3.46437,171.78
34.3,-3.44487,172.054
34.4,-3.4259,172.328
34.5,-3.40748,172.602
34.6,-3.38959,172.876
34.7,-3.37223,173.15
34.8,-3.35539,173.424
34.9,-3.33907,173.697
35.0,-3.32326,173.971
35.1,-3.30797,174.245
35.2,-3.29319,174.518
35.3,-3.27891,174.791
35.4,-3.26513,175.064
35.5,-3.25184,175.338
35.6,-3.23905,175.61
35.7,-3.22675,175.883
35.8,-3.21494,176.156
35.9,-3.20362,176.428
36.0,-3.19278,176.7
36.1,-3.18241,176.972
36.2,-3.17253,177.244
