Angle (deg),Magnitude (dB),Phase (deg)
21.2,-4.78401,32.6206
21.3,-4.78926,32.6349
21.4,-4.79454,32.6492
21.5,-4.79985,32.6637
21.6,-4.80519,32.6782
21.7,-4.81057,32.6928
21.8,-4.81599,32.7074
21.9,-4.82143,32.7221
22.0,-4.82691,32.7369
22.1,-4.83242,32.7518
22.2,-4.83797,32.7667
22.3,-4.84355,32.7817
22.4,-4.84917,32.7967
22.5,-4.85482,32.8119
22.6,-4.8605,32.8271
22.7,-4.86622,32.8423
22.8,-4.87198,32.8577
22.9,-4.87777,32.8731
23.0,-4.88359,32.8886
23.1,-4.88945,32.9041
23.2,-4.89535,32.9197
23.3,-4.90128,32.9354
23.4,-4.90725,32.9511
23.5,-4.91325,32.967
23.6,-4.91929,32.9829
23.7,-4.92536,32.9988
23.8,-4.93148,33.0148
23.9,-4.93762,33.0309
24.0,-4.94381,33.0471
24.1,-4.95003,33.0633
24.2,-4.95629,33.0796
24.3,-4.96259,33.096
24.4,-4.96892,33.1125
24.5,-4.97529,33.129
24.6,-4.9817,33.1455
24.7,-4.98815,33.1622
24.8,-4.99464,33.1789
24.9,-5.00116,33.1957
25.0,-5.00772,33.2126
25.1,-5.01432,33.2295
25.2,-5.02096,33.2465
25.3,-5.02764,33.2635
25.4,-5.03436,33.2807
25.5,-5.04112,33.2979
25.6,-5.04792,33.3151
25.7,-5.05475,33.3325
25.8,-5.06163,33.3499
25.9,-5.06855,33.3674
26.0,-5.07551,33.3849
26.1,-5.0825,33.4025
26.2,-5.08954,33.4202
26.3,-5.09662,33.438
26.4,-5.10374,33.4558
26.5,-5.11091,33.4737
26.6,-5.11811,33.4916
26.7,-5.12536,33.5097
26.8,-5.13264,33.5278
26.9,-5.13997,33.5459
27.0,-5.14735,33.5642
27.1,-5.15476,33.5825
27.2,-5.16222,33.6008
27.3,-5.16972,33.6193
27.4,-5.17726,33.6378
27.5,-5.18485,33.6564
27.6,-5.19248,33.675
27.7,-5.20016,33.6937
27.8,-5.20787,33.7125
27.9,-5.21564,33.7314
28.0,-5.22345,33.7503
28.1,-5.2313,33.7693
28.2,-5.2392,33.7884
28.3,-5.24714,33.8075
28.4,-5.25513,33.8267
28.5,-5.26316,33.846
28.6,-5.27125,33.8653
28.7,-5.27937,33.8847
28.8,-5.28755,33.9042
28.9,-5.29577,33.9237
29.0,-5.30403,33.9433
29.1,-5.31235,33.963
29.2,-5.32071,33.9828
29.3,-5.32912,34.0026
29.4,-5.33758,34.0225
29.5,-5.34608,34.0424
29.6,-5.35464,34.0624
29.7,-5.36324,34.0825
29.8,-5.37189,34.1027
29.9,-5.3806,34.1229
30.0,-5.38935,34.1432
30.1,-5.39815,34.1636
30.2,-5.407,34.184
30.3,-5.4159,34.2045
30.4,-5.42486,34.2251
30.5,-5.43386,34.2457
30.6,-5.44291,34.2664
30.7,-5.45202,34.2872
30.8,-5.46118,34.308
30.9,-5.47039,34.3289
31.0,-5.47965,34.3499
31.1,-5.48897,34.3709
31.2,-5.49834,34.392
31.3,-5.50776,34.4132
31.4,-5.51724,34.4344
31.5,-5.52677,34.4557
31.6,-5.53635,34.4771
31.7,-5.54599,34.4986
31.8,-5.55569,34.5201
31.9,-5.56543,34.5417
32.0,-5.57524,34.5633
32.1,-5.5851,34.585
32.2,-5.59502,34.6068
32.3,-5.60499,34.6287
32.4,-5.61502,34.6506
32.5,-5.62511,34.6726
32.6,-5.63526,34.6946
32.7,-5.64546,34.7167
32.8,-5.65572,34.7389
32.9,-5.66604,34.7611
33.0,-5.67642,34.7835
33.1,-5.68686,34.8058
33.2,-5.69736,34.8283
33.3,-5.70792,34.8508
33.4,-5.71854,34.8734
33.5,-5.72922,34.896
33.6,-5.73996,34.9187
33.7,-5.75076,34.9415
33.8,-5.76162,34.9644
33.9,-5.77255,34.9873
34.0,-5.78354,35.0102
34.1,-5.79459,35.0333
34.2,-5.80571,35.0564
34.3,-5.81689,35.0796
34.4,-5.82814,35.1028
34.5,-5.83945,35.1261
34.6,-5.85082,35.1495
34.7,-5.86226,35.1729
34.8,-5.87377,35.1964
34.9,-5.88534,35.2199
35.0,-5.89698,35.2436
35.1,-5.90869,35.2673
35.2,-5.92046,35.291
35.3,-5.93231,35.3148
35.4,-5.94422,35.3387
35.5,-5.9562,35.3627
35.6,-5.96825,35.3867
35.7,-5.98037,35.4107
35.8,-5.99256,35.4349
35.9,-6.00482,35.4591
36.0,-6.01715,35.4833
36.1,-6.02956,35.5077
36.2,-6.04204,35.532
36.3,-6.05459,35.5565
36.4,-6.06721,35.581
36.5,-6.07991,35.6056
36.6,-6.09268,35.6302
36.7,-6.10553,35.6549
36.8,-6.11845,35.6797
36.9,-6.13145,35.7045
37.0,-6.14452,35.7294
37.1,-6.15767,35.7544
37.2,-6.1709,35.7794
37.3,-6.18421,35.8044
37.4,-6.19759,35.8296
37.5,-6.21105,35.8548
37.6,-6.2246,35.88
37.7,-6.23822,35.9053
37.8,-6.25193,35.9307
37.9,-6.26571,35.9562
38.0,-6.27958,35.9816
38.1,-6.29353,36.0072
38.2,-6.30756,36.0328
38.3,-6.32168,36.0585
38.4,-6.33588,36.0842
38.5,-6.35017,36.11
38.6,-6.36454,36.1359
38.7,-6.379,36.1618
38.8,-6.39354,36.1878
38.9,-6.40818,36.2138
39.0,-6.4229,36.2399
39.1,-6.43771,36.266
39.2,-6.4526,36.2922
39.3,-6.46759,36.3185
39.4,-6.48267,36.3448
39.5,-6.49784,36.3712
39.6,-6.5131,36.3976
39.7,-6.52846,36.4241
39.8,-6.54391,36.4506
39.9,-6.55945,36.4772
40.0,-6.57509,36.5038
40.1,-6.59082,36.5306
40.2,-6.60665,36.5573
40.3,-6.62258,36.5841
40.4,-6.6386,36.611
40.5,-6.65472,36.6379
40.6,-6.67095,36.6649
40.7,-6.68727,36.6919
40.8,-6.70369,36.719
40.9,-6.72022,36.7462
41.0,-6.73684,36.7734
41.1,-6.75358,36.8006
41.2,-6.77041,36.8279
41.3,-6.78735,36.8552
41.4,-6.8044,36.8826
41.5,-6.82155,36.9101
41.6,-6.83881,36.9376
41.7,-6.85618,36.9651
41.8,-6.87365,36.9927
41.9,-6.89124,37.0204
42.0,-6.90894,37.0481
42.1,-6.92675,37.0759
42.2,-6.94467,37.1036
42.3,-6.96271,37.1315
42.4,-6.98086,37.1594
42.5,-6.99913,37.1873
42.6,-7.01751,37.2153
42.7,-7.03601,37.2434
42.8,-7.05463,37.2714
42.9,-7.07337,37.2996
43.0,-7.09223,37.3277
43.1,-7.11121,37.356
43.2,-7.13032,37.3842
43.3,-7.14955,37.4125
43.4,-7.1689,37.4409
43.5,-7.18838,37.4693
43.6,-7.20798,37.4977
43.7,-7.22772,37.5262
43.8,-7.24758,37.5547
43.9,-7.26758,37.5833
44.0,-7.2877,37.6119
44.1,-7.30796,37.6405
44.2,-7.32835,37.6692
44.3,-7.34888,37.6979
44.4,-7.36954,37.7267
44.5,-7.39034,37.7555
44.6,-7.41128,37.7844
44.7,-7.43235,37.8132
44.8,-7.45357,37.8421
44.9,-7.47494,37.8711
45.0,-7.49644,37.9001
45.1,-7.51809,37.9291
45.2,-7.53989,37.9582
45.3,-7.56183,37.9873
45.4,-7.58393,38.0164
45.5,-7.60617,38.0455
45.6,-7.62857,38.0747
45.7,-7.65112,38.104
45.8,-7.67382,38.1332
45.9,-7.69669,38.1625
46.0,-7.7197,38.1918
46.1,-7.74288,38.2212
46.2,-7.76622,38.2505
46.3,-7.78972,38.2799
46.4,-7.81339,38.3094
46.5,-7.83722,38.3388
46.6,-7.86122,38.3683
46.7,-7.88539,38.3978
46.8,-7.90972,38.4273
46.9,-7.93423,38.4569
47.0,-7.95892,38.4865
47.1,-7.98377,38.5161
47.2,-8.00881,38.5457
47.3,-8.03403,38.5753
47.4,-8.05942,38.605
47.5,-8.085,38.6346
47.6,-8.11077,38.6643
47.7,-8.13672,38.6941
47.8,-8.16286,38.7238
47.9,-8.18919,38.7535
48.0,-8.21571,38.7833
48.1,-8.24243,38.8131
48.2,-8.26934,38.8429
48.3,-8.29645,38.8727
48.4,-8.32377,38.9025
48.5,-8.35128,38.9323
48.6,-8.379,38.9621
48.7,-8.40693,38.992
48.8,-8.43507,39.0218
48.9,-8.46342,39.0517
49.0,-8.49198,39.0815
49.1,-8.52076,39.1114
49.2,-8.54976,39.1412
49.3,-8.57898,39.1711
49.4,-8.60843,39.201
49.5,-8.6381,39.2308
49.6,-8.668,39.2607
49.7,-8.69812,39.2906
49.8,-8.72849,39.3204
49.9,-8.75909,39.3503
50.0,-8.78993,39.3801
50.1,-8.82101,39.41
50.2,-8.85234,39.4398
50.3,-8.88392,39.4696
50.4,-8.91574,39.4995
50.5,-8.94782,39.5293
50.6,-8.98016,39.559
50.7,-9.01276,39.5888
50.8,-9.04562,39.6186
50.9,-9.07874,39.6483
51.0,-9.11214,39.678
51.1,-9.1458,39.7077
51.2,-9.17975,39.7374
51.3,-9.21397,39.7671
51.4,-9.24848,39.7967
51.5,-9.28327,39.8263
51.6,-9.31835,39.8559
51.7,-9.35372,39.8854
51.8,-9.3894,39.9149
51.9,-9.42537,39.9444
52.0,-9.46165,39.9739
52.1,-9.49823,40.0033
52.2,-9.53514,40.0326
52.3,-9.57235,40.062
52.4,-9.60989,40.0913
52.5,-9.64775,40.1205
52.6,-9.68595,40.1497
52.7,-9.72448,40.1789
52.8,-9.76334,40.208
52.9,-9.80255,40.237
53.0,-9.84211,40.266
53.1,-9.88202,40.295
53.2,-9.92229,40.3238
53.3,-9.96292,40.3527
53.4,-10.0039,40.3814
53.5,-10.0453,40.4101
53.6,-10.087,40.4388
53.7,-10.1292,40.4673
53.8,-10.1717,40.4958
53.9,-10.2146,40.5242
54.0,-10.2579,40.5526
54.1,-10.3016,40.5809
54.2,-10.3458,40.609
54.3,-10.3903,40.6371
54.4,-10.4353,40.6652
54.5,-10.4807,40.6931
54.6,-10.5265,40.7209
54.7,-10.5728,40.7487
54.8,-10.6196,40.7763
54.9,-10.6668,40.8038
55.0,-10.7144,40.8313
55.1,-10.7626,40.8586
55.2,-10.8112,40.8858
55.3,-10.8603,40.9129
55.4,-10.9099,40.9399
55.5,-10.96,40.9668
55.6,-11.0106,40.9935
55.7,-11.0617,41.0202
55.8,-11.1134,41.0466
55.9,-11.1656,41.073
56.0,-11.2183,41.0992
56.1,-11.2716,41.1253
56.2,-11.3255,41.1512
56.3,-11.3799,41.177
56.4,-11.4349,41.2026
56.5,-11.4905,41.2281
56.6,-11.5468,41.2534
56.7,-11.6036,41.2785
56.8,-11.6611,41.3034
56.9,-11.7192,41.3282
57.0,-11.7779,41.3528
57.1,-11.8373,41.3772
57.2,-11.8974,41.4014
57.3,-11.9582,41.4255
57.4,-12.0197,41.4493
57.5,-12.0819,41.4729
57.6,-12.1448,41.4963
57.7,-12.2084,41.5194
57.8,-12.2729,41.5424
57.9,-12.338,41.5651
58.0,-12.404,41.5875
58.1,-12.4708,41.6098
58.2,-12.5384,41.6317
58.3,-12.6068,41.6534
58.4,-12.6761,41.6748
58.5,-12.7462,41.696
58.6,-12.8172,41.7169
58.7,-12.8892,41.7374
58.8,-12.962,41.7577
58.9,-13.0359,41.7776
59.0,-13.1106,41.7973
59.1,-13.1864,41.8166
59.2,-13.2632,41.8356
59.3,-13.341,41.8542
59.4,-13.4199,41.8724
59.5,-13.4999,41.8903
59.6,-13.5809,41.9078
59.7,-13.6631,41.9249
59.8,-13.7465,41.9416
59.9,-13.831,41.9579
60.0,-13.9168,41.9737
60.1,-14.0038,41.9891
60.2,-14.0921,42.0041
60.3,-14.1818,42.0185
60.4,-14.2727,42.0325
60.5,-14.3651,42.0459
60.6,-14.4588,42.0589
60.7,-14.5541,42.0712
60.8,-14.6508,42.083
60.9,-14.7491,42.0943
61.0,-14.8489,42.1049
61.1,-14.9504,42.1149
61.2,-15.0535,42.1242
61.3,-15.1584,42.1329
61.4,-15.265,42.1408
61.5,-15.3735,42.1481
61.6,-15.4838,42.1546
61.7,-15.5961,42.1603
61.8,-15.7104,42.1651
61.9,-15.8267,42.1691
62.0,-15.9452,42.1723
62.1,-16.0659,42.1745
62.2,-16.1888,42.1757
62.3,-16.3141,42.176
62.4,-16.4418,42.1751
62.5,-16.5721,42.1732
62.6,-16.7049,42.1701
62.7,-16.8404,42.1659
62.8,-16.9788,42.1603
62.9,-17.12,42.1534
63.0,-17.2642,42.1451
63.1,-17.4116,42.1354
63.2,-17.5622,42.1241
63.3,-17.7163,42.1112
63.4,-17.8738,42.0965
63.5,-18.035,42.08
63.6,-18.2,42.0616
63.7,-18.3691,42.0412
63.8,-18.5423,42.0186
63.9,-18.7199,41.9937
64.0,-18.902,41.9663
64.1,-19.089,41.9363
64.2,-19.2809,41.9035
64.3,-19.4782,41.8678
64.4,-19.681,41.8288
64.5,-19.8897,41.7864
64.6,-20.1045,41.7402
64.7,-20.3258,41.6901
64.8,-20.5541,41.6356
64.9,-20.7896,41.5764
65.0,-21.0328,41.5121
65.1,-21.2843,41.4422
65.2,-21.5445,41.3662
65.3,-21.8141,41.2836
65.4,-22.0937,41.1935
65.5,-22.3839,41.0953
65.6,-22.6856,40.988
65.7,-22.9998,40.8707
65.8,-23.3273,40.7421
65.9,-23.6692,40.6008
66.0,-24.0269,40.4452
66.1,-24.4018,40.2733
66.2,-24.7954,40.0828
66.3,-25.2097,39.8709
66.4,-25.6468,39.6341
66.5,-26.1092,39.3682
66.6,-26.5999,39.068
66.7,-27.1224,38.727
66.8,-27.6808,38.3368
66.9,-28.2801,37.8866
67.0,-28.9265,37.3621
67.1,-29.6276,36.7442
67.2,-30.3929,36.0066
67.3,-31.2347,35.112
67.4,-32.169,34.0062
67.5,-33.217,32.607
67.6,-34.4076,30.7841
67.7,-35.7812,28.3191
67.8,-37.3951,24.8197
67.9,-39.3282,19.5201
68.0,-41.6696,10.7806
68.1,-44.3769,-5.07448
68.2,-46.5273,-33.7915
68.3,-45.9192,-69.0189
68.4,-43.297,-92.5789
68.5,-40.6464,-105.225
68.6,-38.4174,-112.432
