Angle (deg),Magnitude (dB),Phase (deg)
22.6,-1.47156,176.463
22.7,-1.47049,176.466
22.8,-1.46941,176.469
22.9,-1.46833,176.471
23.0,-1.46725,176.474
23.1,-1.46616,176.476
23.2,-1.46507,176.479
23.3,-1.46397,176.482
23.4,-1.46287,176.484
23.5,-1.46177,176.487
23.6,-1.46066,176.489
23.7,-1.45954,176.492
23.8,-1.45842,176.495
23.9,-1.4573,176.498
24.0,-1.45617,176.5
24.1,-1.45504,176.503
24.2,-1.45391,176.506
24.3,-1.45276,176.508
24.4,-1.45162,176.511
24.5,-1.45047,176.514
24.6,-1.44931,176.517
24.7,-1.44816,176.519
24.8,-1.44699,176.522
24.9,-1.44583,176.525
25.0,-1.44465,176.528
25.1,-1.44348,176.531
25.2,-1.4423,176.533
25.3,-1.44111,176.536
25.4,-1.43992,176.539
25.5,-1.43873,176.542
25.6,-1.43753,176.545
25.7,-1.43633,176.548
25.8,-1.43512,176.551
25.9,-1.43391,176.553
26.0,-1.43269,176.556
26.1,-1.43147,176.559
26.2,-1.43025,176.562
26.3,-1.42902,176.565
26.4,-1.42779,176.568
26.5,-1.42655,176.571
26.6,-1.42531,176.574
26.7,-1.42406,176.577
26.8,-1.42281,176.58
26.9,-1.42156,176.583
27.0,-1.4203,176.586
27.1,-1.41903,176.589
27.2,-1.41776,176.592
27.3,-1.41649,176.595
27.4,-1.41522,176.598
27.5,-1.41394,176.601
27.6,-1.41265,176.604
27.7,-1.41136,176.607
27.8,-1.41007,176.61
27.9,-1.40877,176.614
28.0,-1.40747,176.617
28.1,-1.40616,176.62
28.2,-1.40485,176.623
28.3,-1.40353,176.626
28.4,-1.40221,176.629
28.5,-1.40089,176.632
28.6,-1.39956,176.636
28.7,-1.39823,176.639
28.8,-1.39689,176.642
28.9,-1.39555,176.645
29.0,-1.39421,176.648
29.1,-1.39286,176.652
29.2,-1.39151,176.655
29.3,-1.39015,176.658
29.4,-1.38879,176.661
29.5,-1.38742,176.665
29.6,-1.38605,176.668
29.7,-1.38468,176.671
29.8,-1.3833,176.674
29.9,-1.38191,176.678
30.0,-1.38053,176.681
30.1,-1.37914,176.684
30.2,-1.37774,176.688
30.3,-1.37634,176.691
30.4,-1.37494,176.695
30.5,-1.37353,176.698
30.6,-1.37211,176.701
30.7,-1.3707,176.705
30.8,-1.36928,176.708
30.9,-1.36785,176.711
31.0,-1.36642,176.715
31.1,-1.36499,176.718
31.2,-1.36355,176.722
31.3,-1.36211,176.725
31.4,-1.36067,176.729
31.5,-1.35922,176.732
31.6,-1.35776,176.736
31.7,-1.3563,176.739
31.8,-1.35484,176.743
31.9,-1.35337,176.746
32.0,-1.3519,176.75
32.1,-1.35043,176.753
32.2,-1.34895,176.757
32.3,-1.34747,176.76
32.4,-1.34598,176.764
32.5,-1.34449,176.767
32.6,-1.34299,176.771
32.7,-1.3415,176.775
32.8,-1.33999,176.778
32.9,-1.33848,176.782
33.0,-1.33697,176.785
33.1,-1.33546,176.789
33.2,-1.33394,176.793
33.3,-1.33241,176.796
33.4,-1.33089,176.8
33.5,-1.32935,176.804
33.6,-1.32782,176.807
33.7,-1.32628,176.811
33.8,-1.32473,176.815
33.9,-1.32319,176.818
34.0,-1.32163,176.822
34.1,-1.32008,176.826
34.2,-1.31852,176.83
34.3,-1.31695,176.833
34.4,-1.31539,176.837
34.5,-1.31381,176.841
34.6,-1.31224,176.845
34.7,-1.31066,176.848
34.8,-1.30907,176.852
34.9,-1.30749,176.856
35.0,-1.30589,176.86
35.1,-1.3043,176.864
35.2,-1.3027,176.867
35.3,-1.30109,176.871
35.4,-1.29948,176.875
35.5,-1.29787,176.879
35.6,-1.29626,176.883
35.7,-1.29464,176.887
35.8,-1.29301,176.891
35.9,-1.29139,176.895
36.0,-1.28975,176.898
36.1,-1.28812,176.902
36.2,-1.28648,176.906
36.3,-1.28484,176.91
36.4,-1.28319,176.914
36.5,-1.28154,176.918
36.6,-1.27988,176.922
36.7,-1.27822,176.926
36.8,-1.27656,176.93
36.9,-1.27489,176.934
37.0,-1.27322,176.938
37.1,-1.27155,176.942
37.2,-1.26987,176.946
37.3,-1.26819,176.95
37.4,-1.2665,176.954
37.5,-1.26481,176.958
37.6,-1.26312,176.962
37.7,-1.26142,176.966
37.8,-1.25972,176.97
37.9,-1.25801,176.974
38.0,-1.2563,176.979
38.1,-1.25459,176.983
38.2,-1.25287,176.987
38.3,-1.25115,176.991
38.4,-1.24942,176.995
38.5,-1.2477,176.999
38.6,-1.24596,177.003
38.7,-1.24423,177.007
38.8,-1.24249,177.012
38.9,-1.24074,177.016
39.0,-1.239,177.02
39.1,-1.23725,177.024
39.2,-1.23549,177.028
39.3,-1.23373,177.033
39.4,-1.23197,177.037
39.5,-1.2302,177.041
39.6,-1.22843,177.045
39.7,-1.22666,177.05
39.8,-1.22488,177.054
39.9,-1.2231,177.058
40.0,-1.22132,177.062
40.1,-1.21953,177.067
40.2,-1.21773,177.071
40.3,-1.21594,177.075
40.4,-1.21414,177.08
40.5,-1.21233,177.084
40.6,-1.21053,177.088
40.7,-1.20872,177.093
40.8,-1.2069,177.097
40.9,-1.20508,177.101
41.0,-1.20326,177.106
41.1,-1.20144,177.11
41.2,-1.19961,177.114
41.3,-1.19777,177.119
41.4,-1.19594,177.123
41.5,-1.1941,177.128
41.6,-1.19225,177.132
41.7,-1.19041,177.136
41.8,-1.18855,177.141
41.9,-1.1867,177.145
42.0,-1.18484,177.15
42.1,-1.18298,177.154
42.2,-1.18111,177.159
42.3,-1.17924,177.163
42.4,-1.17737,177.168
42.5,-1.17549,177.172
42.6,-1.17361,177.177
42.7,-1.17173,177.181
42.8,-1.16984,177.186
42.9,-1.16795,177.19
43.0,-1.16606,177.195
43.1,-1.16416,177.199
43.2,-1.16226,177.204
43.3,-1.16035,177.208
43.4,-1.15845,177.213
43.5,-1.15653,177.218
43.6,-1.15462,177.222
43.7,-1.1527,177.227
43.8,-1.15078,177.231
43.9,-1.14885,177.236
44.0,-1.14692,177.241
44.1,-1.14499,177.245
44.2,-1.14305,177.25
44.3,-1.14111,177.255
44.4,-1.13917,177.259
44.5,-1.13722,177.264
44.6,-1.13527,177.269
44.7,-1.13332,177.273
44.8,-1.13136,177.278
44.9,-1.1294,177.283
45.0,-1.12743,177.287
45.1,-1.12547,177.292
45.2,-1.12349,177.297
45.3,-1.12152,177.302
45.4,-1.11954,177.306
45.5,-1.11756,177.311
45.6,-1.11557,177.316
45.7,-1.11359,177.321
45.8,-1.11159,177.325
45.9,-1.1096,177.33
46.0,-1.1076,177.335
46.1,-1.1056,177.34
46.2,-1.10359,177.345
46.3,-1.10159,177.349
46.4,-1.09957,177.354
46.5,-1.09756,177.359
46.6,-1.09554,177.364
46.7,-1.09352,177.369
46.8,-1.09149,177.374
46.9,-1.08946,177.379
47.0,-1.08743,177.383
47.1,-1.0854,177.388
47.2,-1.08336,177.393
47.3,-1.08132,177.398
47.4,-1.07927,177.403
47.5,-1.07722,177.408
47.6,-1.07517,177.413
47.7,-1.07311,177.418
47.8,-1.07106,177.423
47.9,-1.06899,177.428
48.0,-1.06693,177.433
48.1,-1.06486,177.438
48.2,-1.06279,177.443
48.3,-1.06072,177.447
