Angle (deg),Magnitude (dB),Phase (deg)
0.0,-5.95883,21.7255
0.1,-5.95894,21.726
0.2,-5.95929,21.7274
0.3,-5.95986,21.7297
0.4,-5.96067,21.7329
0.5,-5.96171,21.737
0.6,-5.96298,21.742
0.7,-5.96447,21.748
0.8,-5.96621,21.7549
0.9,-5.96817,21.7627
1.0,-5.97036,21.7713
1.1,-5.97279,21.781
1.2,-5.97545,21.7915
1.3,-5.97835,21.8029
1.4,-5.98147,21.8152
1.5,-5.98484,21.8284
1.6,-5.98844,21.8426
1.7,-5.99228,21.8576
1.8,-5.99635,21.8735
1.9,-6.00066,21.8903
2.0,-6.00522,21.908
2.1,-6.01001,21.9266
2.2,-6.01504,21.9461
2.3,-6.02032,21.9664
2.4,-6.02584,21.9877
2.5,-6.03161,22.0098
2.6,-6.03762,22.0327
2.7,-6.04388,22.0566
2.8,-6.05038,22.0813
2.9,-6.05714,22.1068
3.0,-6.06415,22.1332
3.1,-6.07141,22.1604
3.2,-6.07893,22.1885
3.3,-6.0867,22.2174
3.4,-6.09474,22.2472
3.5,-6.10303,22.2778
3.6,-6.11158,22.3091
3.7,-6.1204,22.3413
3.8,-6.12948,22.3743
3.9,-6.13883,22.4081
4.0,-6.14845,22.4427
4.1,-6.15834,22.4781
4.2,-6.1685,22.5142
4.3,-6.17894,22.5511
4.4,-6.18966,22.5888
4.5,-6.20066,22.6272
4.6,-6.21194,22.6663
4.7,-6.22351,22.7062
4.8,-6.23536,22.7468
4.9,-6.24751,22.7881
5.0,-6.25995,22.8301
5.1,-6.27268,22.8728
5.2,-6.28572,22.9161
5.3,-6.29905,22.9602
5.4,-6.31269,23.0049
5.5,-6.32664,23.0502
5.6,-6.3409,23.0962
5.7,-6.35547,23.1427
5.8,-6.37036,23.1899
5.9,-6.38557,23.2377
6.0,-6.4011,23.286
6.1,-6.41696,23.3349
6.2,-6.43314,23.3844
6.3,-6.44967,23.4344
6.4,-6.46653,23.4849
6.5,-6.48373,23.5358
6.6,-6.50127,23.5873
6.7,-6.51917,23.6392
6.8,-6.53741,23.6916
6.9,-6.55602,23.7443
7.0,-6.57498,23.7975
7.1,-6.59431,23.851
7.2,-6.61401,23.9049
7.3,-6.63408,23.9592
7.4,-6.65452,24.0137
7.5,-6.67535,24.0685
7.6,-6.69657,24.1236
7.7,-6.71818,24.179
7.8,-6.74018,24.2345
7.9,-6.76258,24.2902
8.0,-6.78539,24.3461
8.1,-6.80861,24.4021
8.2,-6.83225,24.4582
8.3,-6.8563,24.5144
8.4,-6.88078,24.5706
8.5,-6.90569,24.6268
8.6,-6.93104,24.683
8.7,-6.95682,24.739
8.8,-6.98306,24.795
8.9,-7.00974,24.8509
9.0,-7.03689,24.9065
9.1,-7.06449,24.962
9.2,-7.09257,25.0171
9.3,-7.12112,25.072
9.4,-7.15015,25.1265
9.5,-7.17967,25.1806
9.6,-7.20968,25.2343
9.7,-7.24019,25.2874
9.8,-7.27121,25.34
9.9,-7.30274,25.3921
10.0,-7.33478,25.4434
10.1,-7.36735,25.4941
10.2,-7.40045,25.544
10.3,-7.43409,25.593
10.4,-7.46827,25.6412
10.5,-7.503,25.6884
10.6,-7.53828,25.7345
10.7,-7.57413,25.7796
10.8,-7.61056,25.8236
10.9,-7.64755,25.8662
11.0,-7.68513,25.9076
11.1,-7.7233,25.9476
11.2,-7.76207,25.9861
11.3,-7.80144,26.0231
11.4,-7.84142,26.0584
11.5,-7.88202,26.092
11.6,-7.92324,26.1237
11.7,-7.9651,26.1536
11.8,-8.00759,26.1814
11.9,-8.05072,26.2071
12.0,-8.09451,26.2305
12.1,-8.13895,26.2516
12.2,-8.18405,26.2703
12.3,-8.22983,26.2864
12.4,-8.27628,26.2998
12.5,-8.32341,26.3103
12.6,-8.37123,26.3179
12.7,-8.41974,26.3225
12.8,-8.46895,26.3238
12.9,-8.51886,26.3217
13.0,-8.56948,26.3162
13.1,-8.62081,26.3069
13.2,-8.67286,26.2939
13.3,-8.72563,26.2768
13.4,-8.77913,26.2556
13.5,-8.83335,26.2301
13.6,-8.8883,26.2
13.7,-8.94399,26.1652
13.8,-9.00041,26.1256
13.9,-9.05756,26.0808
14.0,-9.11545,26.0308
14.1,-9.17408,25.9753
14.2,-9.23344,25.914
14.3,-9.29353,25.8468
14.4,-9.35435,25.7734
14.5,-9.41589,25.6936
14.6,-9.47816,25.6072
14.7,-9.54114,25.5138
